dept,grade,annual_salary,hourly_rate,grade_label
Scottish Government (excl. agencies),eo,27350,16.72,EO
Scottish Government (excl. agencies),aoaa,22560,13.79,AO/AA
Scottish Government (excl. agencies),total,37420,22.88,Unknown
Accountant in Bankruptcy,scs,NA,NA,SCS
Accountant in Bankruptcy,g6g7,59230,36.22,Grade 6/Grade 7
Accountant in Bankruptcy,seoheo,34090,20.85,SEO/HEO
Accountant in Bankruptcy,eo,28340,17.33,EO
Accountant in Bankruptcy,aoaa,21480,13.13,AO/AA
Accountant in Bankruptcy,total,28340,17.33,Unknown
Crown Office and Procurator Fiscal Service,scs,80810,49.41,SCS
Crown Office and Procurator Fiscal Service,g6g7,66480,40.65,Grade 6/Grade 7
Crown Office and Procurator Fiscal Service,seoheo,37160,22.72,SEO/HEO
Crown Office and Procurator Fiscal Service,eo,25800,15.78,EO
Crown Office and Procurator Fiscal Service,aoaa,21470,13.13,AO/AA
Crown Office and Procurator Fiscal Service,total,28190,17.24,Unknown
Disclosure Scotland,scs,NA,NA,SCS
Disclosure Scotland,g6g7,60710,37.12,Grade 6/Grade 7
Disclosure Scotland,seoheo,34090,20.85,SEO/HEO
Disclosure Scotland,eo,28340,17.33,EO
Disclosure Scotland,aoaa,21480,13.13,AO/AA
Disclosure Scotland,total,22560,13.79,Unknown
Education Scotland,scs,80810,49.41,SCS
Education Scotland,g6g7,66350,40.57,Grade 6/Grade 7
